well_id,FieldIndex,x_micrometer,y_micrometer,z_micrometer,pixel_size_z,z_pixel,Time,pixel_size_x,pixel_size_y,x_pixel,y_pixel,bit_depth,x_micrometer_original,y_micrometer_original
C06,3,-2088.2,157.0,0,1.0,247,2022-05-30 20:42:02.610000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-2088.2,157.0
C06,4,1754.2,454.1,0,1.0,247,2022-05-30 20:44:20.415000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1754.2,454.1
C06,5,-480.1,1597.2,0,1.0,247,2022-05-30 20:47:39.184000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-480.1,1597.2
C06,6,1599.2,1635.9,0,1.0,247,2022-05-30 20:49:56.776000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1599.2,1635.9
C07,1,-1571.6,-2129.0,0,1.0,247,2022-05-30 20:58:14.773000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1571.6,-2129.0
C07,2,1011.6,-2006.3,0,1.0,247,2022-05-30 21:00:34.691000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,1011.6,-2006.3
C07,3,-1558.6,-1244.3,0,1.0,247,2022-05-30 21:02:52.973000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1558.6,-1244.3
C07,4,-1810.5,-500.0,0,1.0,247,2022-05-30 21:05:11.258000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1810.5,-714.7
C07,5,998.6,1545.5,0,1.0,247,2022-05-30 21:07:29.616000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,998.6,1545.5
D02,1,-2.3,-2600.5,0,1.0,247,2022-05-30 21:15:59.028000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-2.3,-2600.5
D02,2,2270.9,-1844.9,0,1.0,247,2022-05-30 21:19:18.869000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,2270.9,-1844.9
D02,3,372.2,-630.8,0,1.0,247,2022-05-30 21:21:36.423000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,372.2,-630.8
D02,4,-1939.7,-624.3,0,1.0,247,2022-05-30 21:23:54.306000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,-1939.7,-624.3
D02,5,2509.8,247.4,0,1.0,247,2022-05-30 21:26:12.183000+00:00,0.32210109018830524,0.32210109018830524,2000,2000,16,2509.8,247.4
